Index,CO Request ID,Creation Date,FX Deal No,Deal Amount,Currency,Value Date,Business Partner,Period after CO create date,Average number of days not received by CO,Trader
170,11438,2019-11-25 00:00:00,313010,"500,000,000.00",XAF,2019-11-27 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
171,11432,2019-11-25 00:00:00,313011,"7,000,000.00",TRY,2019-11-26 00:00:00,Banco Bilbao Vizcaya Ar,1 days 00:00:00,4 days 00:00:00,DWBROWN
172,11434,2019-11-25 00:00:00,313012,"1,000,000,000.00",NGN,2019-11-27 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
173,11431,2019-11-25 00:00:00,313013,"300,000.00",SAR,2019-11-27 00:00:00,"Citibank N.A., New York",2 days 00:00:00,5 days 00:00:00,DWBROWN
174,11433,2019-11-25 00:00:00,313014,"100,000,000.00",AOA,2019-11-27 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
175,11441,2019-11-25 00:00:00,313018,"78,714,840.00",XOF,2019-11-27 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,DWBROWN
176,11442,2019-11-25 00:00:00,313019,"290,000,000.00",XOF,2019-11-27 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
177,11443,2019-11-25 00:00:00,313020,"2,182,150,000.00",TZS,2019-11-27 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
178,11444,2019-11-25 00:00:00,313022,"300,000,000.00",XOF,2019-11-27 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
179,11449,2019-11-26 00:00:00,313023,"7,920,000.00",DOP,2019-11-29 00:00:00,"Citibank N.A., New York",3 days 00:00:00,6 days 00:00:00,DWBROWN
180,11445,2019-11-25 00:00:00,313025,"1,000,000.00",PEN,2019-11-29 00:00:00,"Citibank N.A., New York",4 days 00:00:00,7 days 00:00:00,DWBROWN
181,11453,2019-11-27 00:00:00,313028,"1,500,000,000.00",SLL,2019-11-29 00:00:00,Standard Chartered Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
182,11451,2019-11-27 00:00:00,313029,"4,000,000.00",TRY,2019-11-29 00:00:00,Svenska Handelsbanken,2 days 00:00:00,5 days 00:00:00,DWBROWN
183,11454,2019-11-27 00:00:00,313030,"110,000,000.00",KES,2019-11-29 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
184,11450,2019-11-27 00:00:00,313031,"50,000,000.00",XAF,2019-11-29 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
185,11457,2019-11-27 00:00:00,313032,"150,000,000.00",XOF,2019-11-29 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,DWBROWN
186,11455,2019-11-27 00:00:00,313035,"5,794,000.00",ZMW,2019-11-29 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
