Index,CO Request ID,Creation Date,FX Deal No,Deal Amount,Currency,Value Date,Business Partner,Period after CO create date,Average number of days not received by CO,Trader
45,11281,2019-11-04 00:00:00,312855,"700,000,000.00",BDT,2019-11-06 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
46,11278,2019-11-03 00:00:00,312856,"14,000,000.00",DZD,2019-11-06 00:00:00,"Citibank N.A., New York",3 days 00:00:00,6 days 00:00:00,DWBROWN
47,11288,2019-11-04 00:00:00,312857,"6,616,500.00",ZMW,2019-11-06 00:00:00,ICBC Standard Bank Plc,2 days 00:00:00,5 days 00:00:00,DWBROWN
48,11282,2019-11-04 00:00:00,312858,"700,000,000.00",XOF,2019-11-06 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
49,11274,2019-11-02 00:00:00,312859,"900,000,000.00",XOF,2019-11-06 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
50,11289,2019-11-04 00:00:00,312860,"2,300,000.00",BWP,2019-11-06 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
51,11293,2019-11-04 00:00:00,312865,"655,957,000.00",XOF,2019-11-06 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
52,11294,2019-11-04 00:00:00,312866,"327,985,000.00",XOF,2019-11-06 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
53,11300,2019-11-05 00:00:00,312868,"250,000.00",ILS,2019-11-07 00:00:00,"HSBC Bank USA, N.A.",2 days 00:00:00,5 days 00:00:00,DWBROWN
54,11298,2019-11-05 00:00:00,312869,"15,000,000.00",TRY,2019-11-06 00:00:00,"BNP Paribas, Paris",1 days 00:00:00,4 days 00:00:00,DWBROWN
55,11303,2019-11-05 00:00:00,312870,"2,300,000.00",MAD,2019-11-07 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
56,11302,2019-11-05 00:00:00,312871,"56,425,000.00",NPR,2019-11-07 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
57,11301,2019-11-05 00:00:00,312872,"7,000,000.00",CNY,2019-11-07 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
58,11299,2019-11-05 00:00:00,312873,"500,000.00",RON,2019-11-07 00:00:00,"Citibank N.A., New York",2 days 00:00:00,5 days 00:00:00,DWBROWN
59,11304,2019-11-05 00:00:00,312874,"30,000.00",OMR,2019-11-07 00:00:00,"HSBC Bank USA, N.A.",2 days 00:00:00,5 days 00:00:00,DWBROWN
60,11296,2019-11-05 00:00:00,312875,"750,000.00",GEL,2019-11-07 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
61,11306,2019-11-05 00:00:00,312879,"10,568,000.00",DOP,2019-11-07 00:00:00,"Citibank N.A., New York",2 days 00:00:00,5 days 00:00:00,DWBROWN
62,11307,2019-11-05 00:00:00,312880,"472,336,000.00",XOF,2019-11-07 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
63,11313,2019-11-06 00:00:00,312881,"6,000,000.00",GTQ,2019-11-08 00:00:00,"Citibank N.A., New York",2 days 00:00:00,5 days 00:00:00,DWBROWN
64,11311,2019-11-06 00:00:00,312882,"7,000,000.00",GHS,2019-11-08 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
65,11309,2019-11-06 00:00:00,312883,"1,100,400,000.00",MGA,2019-11-08 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
66,11308,2019-11-05 00:00:00,312884,"3,433,000.00",NIO,2019-11-08 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,DWBROWN
67,11312,2019-11-06 00:00:00,312885,"1,200,000.00",SZL,2019-11-08 00:00:00,ICBC Standard Bank Plc,2 days 00:00:00,5 days 00:00:00,DWBROWN
68,11315,2019-11-06 00:00:00,312886,"1,269,812,500.00",TZS,2019-11-08 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
69,11316,2019-11-06 00:00:00,312887,"3,000,000.00",STN,2019-11-12 00:00:00,INTL FCStone Ltd.,6 days 00:00:00,9 days 00:00:00,DWBROWN
70,11314,2019-11-06 00:00:00,312888,"1,000,000.00",DKK,2019-11-12 00:00:00,BANK OF AMERICA N.A.,6 days 00:00:00,9 days 00:00:00,DWBROWN
71,11317,2019-11-07 00:00:00,312889,"4,000,000.00",MXN,2019-11-12 00:00:00,Svenska Handelsbanken,5 days 00:00:00,8 days 00:00:00,DWBROWN
72,11320,2019-11-07 00:00:00,312890,"1,500,000,000.00",NGN,2019-11-12 00:00:00,Crown Agents Bank,5 days 00:00:00,8 days 00:00:00,DWBROWN
73,11318,2019-11-07 00:00:00,312892,"1,700,000.00",MVR,2019-11-12 00:00:00,INTL FCStone Ltd.,5 days 00:00:00,8 days 00:00:00,DWBROWN
74,11321,2019-11-07 00:00:00,312893,"500,000,000.00",XOF,2019-11-12 00:00:00,Ecobank Transnational I,5 days 00:00:00,8 days 00:00:00,DWBROWN
75,11322,2019-11-07 00:00:00,312894,"3,000,000.00",LSL,2019-11-12 00:00:00,ICBC Standard Bank Plc,5 days 00:00:00,8 days 00:00:00,DWBROWN
76,11325,2019-11-07 00:00:00,312895,"730,000.00",BBD,2019-11-12 00:00:00,INTL FCStone Ltd.,5 days 00:00:00,8 days 00:00:00,DWBROWN
77,11323,2019-11-07 00:00:00,312896,"61,950,000.00",DJF,2019-11-12 00:00:00,INTL FCStone Ltd.,5 days 00:00:00,8 days 00:00:00,DWBROWN
78,11324,2019-11-07 00:00:00,312897,"200,000,000.00",HTG,2019-11-12 00:00:00,BANK OF AMERICA N.A.,5 days 00:00:00,8 days 00:00:00,DWBROWN
79,11328,2019-11-08 00:00:00,312898,"600,000,000.00",XAF,2019-11-12 00:00:00,ED&F Man Capital Market,4 days 00:00:00,7 days 00:00:00,DWBROWN
81,11326,2019-11-08 00:00:00,312900,"100,000,000.00",MZN,2019-11-13 00:00:00,Crown Agents Bank,5 days 00:00:00,8 days 00:00:00,DWBROWN
82,11330,2019-11-08 00:00:00,312901,"185,000,000.00",HUF,2019-11-12 00:00:00,Toronto Dominion Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
83,11331,2019-11-08 00:00:00,312906,"67,000,000.00",KZT,2019-11-12 00:00:00,ICBC Standard Bank Plc,4 days 00:00:00,7 days 00:00:00,DWBROWN
84,11335,2019-11-11 00:00:00,312914,"250,000,000.00",INR,2019-11-14 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,EMBEWE
85,11334,2019-11-11 00:00:00,312915,"600,000,000.00",XAF,2019-11-13 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
86,11336,2019-11-11 00:00:00,312916,"300,000,000.00",RWF,2019-11-13 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
87,11332,2019-11-11 00:00:00,312917,"1,000,000.00",PGK,2019-11-13 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,EMBEWE
88,11337,2019-11-11 00:00:00,312921,"1,474,000,000.00",MGA,2019-11-13 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
89,11344,2019-11-12 00:00:00,312922,"185,000,000.00",XAF,2019-11-14 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,EMBEWE
