Index,CO Request ID,Creation Date,FX Deal No.,Business Partner,Value Dt,Deal Amount,Currency,Number of Days > 3,Trader
131,11175,2019-10-18 00:00:00,312757,INTL FCStone Ltd.,2019-10-22 00:00:00,"130,000,000.00",XAF,4 days 00:00:00,DWBROWN
132,11177,2019-10-18 00:00:00,312758,INTL FCStone Ltd.,2019-10-22 00:00:00,"700,000.00",BBD,4 days 00:00:00,DWBROWN
133,11176,2019-10-18 00:00:00,312759,INTL FCStone Ltd.,2019-10-22 00:00:00,"200,000.00",TND,4 days 00:00:00,DWBROWN
138,11178,2019-10-18 00:00:00,312765,Crown Agents Bank,2019-10-22 00:00:00,"700,000.00",PEN,4 days 00:00:00,DWBROWN
159,11216,2019-10-24 00:00:00,312789,Crown Agents Bank,2019-10-28 00:00:00,"2,189,987,500.00",TZS,4 days 00:00:00,DWBROWN
160,11215,2019-10-24 00:00:00,312790,Crown Agents Bank,2019-10-28 00:00:00,"20,000,000.00",LKR,4 days 00:00:00,DWBROWN
161,11213,2019-10-23 00:00:00,312791,"Citibank N.A., New York",2019-10-28 00:00:00,"500,000.00",PEN,5 days 00:00:00,DWBROWN
162,11214,2019-10-23 00:00:00,312792,Ecobank Transnational I,2019-10-28 00:00:00,"1,500,000.00",CNY,5 days 00:00:00,DWBROWN
163,11218,2019-10-24 00:00:00,312793,Ecobank Transnational I,2019-10-28 00:00:00,"1,850,000,000.00",GNF,4 days 00:00:00,DWBROWN
164,11219,2019-10-24 00:00:00,312794,ICBC Standard Bank Plc,2019-10-28 00:00:00,"2,000,000.00",LSL,4 days 00:00:00,DWBROWN
165,11225,2019-10-25 00:00:00,312795,Crown Agents Bank,2019-10-29 00:00:00,"20,000,000.00",MZN,4 days 00:00:00,DWBROWN
166,11220,2019-10-24 00:00:00,312796,Crown Agents Bank,2019-10-29 00:00:00,"700,000,000.00",XOF,5 days 00:00:00,DWBROWN
168,11224,2019-10-25 00:00:00,312798,Crown Agents Bank,2019-10-29 00:00:00,"294,000,000.00",MWK,4 days 00:00:00,DWBROWN
169,11221,2019-10-24 00:00:00,312799,Ecobank Transnational I,2019-10-29 00:00:00,"98,393,550.00",XOF,5 days 00:00:00,DWBROWN
170,11227,2019-10-25 00:00:00,312800,Ecobank Transnational I,2019-10-29 00:00:00,"1,850,000,000.00",GNF,4 days 00:00:00,DWBROWN
171,11222,2019-10-24 00:00:00,312801,"Citibank N.A., New York",2019-10-29 00:00:00,"50,000,000.00",CRC,5 days 00:00:00,DWBROWN
172,11229,2019-10-25 00:00:00,312802,INTL FCStone Ltd.,2019-10-29 00:00:00,"1,000,000,000.00",XAF,4 days 00:00:00,DWBROWN
173,11230,2019-10-25 00:00:00,312803,Crown Agents Bank,2019-10-29 00:00:00,"1,096,500,000.00",MGA,4 days 00:00:00,DWBROWN
174,11231,2019-10-26 00:00:00,312805,Ecobank Transnational I,2019-10-30 00:00:00,"3,000,000.00",EGP,4 days 00:00:00,DWBROWN
